index,dateSold,propertyType,lotAreaValue,address,priceChange,zestimate,imgSrc,price,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,variableData.text,variableData.type,listingSubType.is_FSBA,listingSubType.is_openHouse,variableData,unit,cluster,subcluster,residual
0,,SINGLE_FAMILY,5981.0,"49 Messinger St, Mattapan, MA 02126",,699903.0,https://photos.zillowstatic.com/fp/b6058839a54b9a8182e6a358c33c23b1-p_e.jpg,699900,4,,-71.09971,42.27374,FOR_SALE,59138157,3599.0,-1,2,1959,USA,USD,sqft,1.0,Open: Sun. 12-1:30pm,OPEN_HOUSE,1,1.0,,,6.0,1.0,99735.04619953746
1,,CONDO,1060.0,"257 Northampton St #104, Boston, MA 02118",,,https://photos.zillowstatic.com/fp/3f4d62ecffc4197a4181e8c3be3da022-p_e.jpg,338226,1,,-71.08165,42.339527,FOR_SALE,2061732497,,4,1,1060,USA,USD,sqft,1.0,,,1,,,# 104,4.0,1.0,-949110.979062784
2,,TOWNHOUSE,,"5-5B Eileen Cir #11, Jamaica Plain, MA 02130",,,https://photos.zillowstatic.com/fp/36a66b60476418d9fa59abd4bd1be398-p_e.jpg,452113,2,,-71.10989,42.32856,FOR_SALE,2058605348,,8,1,1290,USA,USD,,1.0,,,1,,,# 11,11.0,1.0,-320158.2473503783
3,,CONDO,9999.0,"1306 Columbia Rd APT 5A, South Boston, MA 02127",,850003.0,https://photos.zillowstatic.com/fp/d0c08cd1bede5b003890333fe3f1200c-p_e.jpg,850000,2,,-71.04692,42.33063,FOR_SALE,60112345,3900.0,-1,2,1216,USA,USD,sqft,1.0,Open: Sat. 1:30-2:30pm,OPEN_HOUSE,1,1.0,,Apt 5A,1.0,1.0,-244618.6383515976
4,,SINGLE_FAMILY,6000.0,"119 Warren Ave, Boston, MA 02136",,685112.0,https://photos.zillowstatic.com/fp/56ce92e246518fcba4d46784230a9b38-p_e.jpg,650000,3,,-71.11346,42.248966,FOR_SALE,59127286,3650.0,-1,2,1852,USA,USD,sqft,1.0,Open: Sun. 12:30-2pm,OPEN_HOUSE,1,1.0,,,9.0,1.0,30834.67680068547
5,,CONDO,1997.0,"765 Washington St #2, Dorchester Center, MA 02124",,,https://photos.zillowstatic.com/fp/1eebb20921467345c7a77d39d1c28f10-p_e.jpg,579999,2,,-71.071495,42.28462,FOR_SALE,2058453083,,4,2,1108,USA,USD,sqft,1.0,,,1,,,# 2,7.0,1.0,83016.86503845477
6,,CONDO,1413.0,"8 Whittier Pl APT 18H, Boston, MA 02114",,1089000.0,https://photos.zillowstatic.com/fp/88f937bda8ae5e4590b52f4bc39fe5d3-p_e.jpg,1100000,3,,-71.06735,42.365704,FOR_SALE,59163568,5896.0,-1,2,1413,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,Apt 18H,5.0,1.0,-313965.98039766774
7,,MULTI_FAMILY,6600.0,"722 Metropolitan Ave, Hyde Park, MA 02136",,1199010.0,https://photos.zillowstatic.com/fp/39b21d19e412312db07350f3165a1c65-p_e.jpg,1199000,9,,-71.11585,42.26126,FOR_SALE,59125983,3713.0,1,3,3360,USA,USD,sqft,1.0,,,1,,,,12.0,1.0,-283141.4916740393
8,,MULTI_FAMILY,9462.0,"885-887 Adams St, Dorchester Center, MA 02124",,,https://photos.zillowstatic.com/fp/09e44aa6a5528026d6d3e60d7b628eaa-p_e.jpg,799000,7,,-71.0591,42.280914,FOR_SALE,2058450957,,-1,2,3242,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,-194588.5601480531
9,,SINGLE_FAMILY,6997.0,"3 Ocean St, Dorchester, MA 02124",,1140288.0,https://photos.zillowstatic.com/fp/2bc83f08f429c2cb7e17712c83b8aa97-p_e.jpg,1149000,4,,-71.06663,42.285362,FOR_SALE,59105081,4149.0,-1,3,2816,USA,USD,sqft,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,254546.55565768853
